Country_Of_Birth_58A,num_Country_Of_Birth_58A,data_11,common_cats
Europe: United Kingdom: England,1,Europe: United Kingdom: England,Europe: United Kingdom: England
Europe: United Kingdom: Northern Ireland,2,Europe: United Kingdom: Northern Ireland,Europe: United Kingdom: Northern Ireland
Europe: United Kingdom: Scotland,3,Europe: United Kingdom: Scotland,Europe: United Kingdom: Scotland
Europe: United Kingdom: Wales,4,Europe: United Kingdom: Wales,Europe: United Kingdom: Wales
Europe: United Kingdom: Great Britain not otherwise specified,5,Europe: Great Britain not otherwise specified,Europe: United Kingdom: Great Britain not otherwise specified
Europe: United Kingdom: United Kingdom not otherwise specified,6,Europe: United Kingdom not otherwise specified,Europe: United Kingdom: United Kingdom not otherwise specified
Europe: Other Europe: Ireland,7,Europe: Ireland,Europe: Other Europe: Ireland
Europe: Other Europe: France,8,Europe: Other Europe: EU countries: Member countries in March 2001: France,Europe: Other Europe: France
Europe: Other Europe: Germany,9,Europe: Other Europe: EU countries: Member countries in March 2001: Germany,Europe: Other Europe: Germany
Europe: Other Europe: Italy,10,Europe: Other Europe: EU countries: Member countries in March 2001: Italy,Europe: Other Europe: Italy
Europe: Other Europe: Portugal (including Madeira and the Azores),11,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal,Europe: Other Europe: Portugal (including Madeira and the Azores)
Europe: Other Europe: Spain (including Canary Islands),12,Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands),Europe: Other Europe: Spain (including Canary Islands)
Europe: Other Europe: Lithuania,13,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Lithuania,Europe: Other Europe: Lithuania
Europe: Other Europe: Poland,14,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland,Europe: Other Europe: Poland
Europe: Other Europe: Romania,15,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Romania,Europe: Other Europe: Romania
Europe: Other Europe: Croatia,16,,Europe: Other Europe: All other European countries
Europe: Other Europe: Turkey,17,Europe: Other Europe: Rest of Europe: Turkey,Europe: Other Europe: Turkey
Europe: Other Europe: All other European countries,18,Europe: Guernsey,Europe: Other Europe: All other European countries
Europe: Other Europe: All other European countries,18,Europe: Jersey,Europe: Other Europe: All other European countries
Europe: Other Europe: All other European countries,18,Europe: Channel Islands not otherwise specified,Europe: Other Europe: All other European countries
Europe: Other Europe: All other European countries,18,Europe: Isle of Man,Europe: Other Europe: All other European countries
Europe: Other Europe: All other European countries,18,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001,Europe: Other Europe: All other European countries
Europe: Other Europe: All other European countries,18,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries,Europe: Other Europe: All other European countries
Europe: Other Europe: All other European countries,18,Europe: Other Europe: Rest of Europe: Other Europe,Europe: Other Europe: All other European countries
Africa: North Africa: All North African countries,19,Africa: North Africa,Africa: North Africa: All North African countries
Africa: Central and Western Africa: Ghana,20,Africa: Central and Western Africa: Ghana,Africa: Central and Western Africa: Ghana
Africa: Central and Western Africa: Nigeria,21,Africa: Central and Western Africa: Nigeria,Africa: Central and Western Africa: Nigeria
Africa: Central and Western Africa: Other Central and Western Africa,22,Africa: Central and Western Africa: Other Central and Western Africa,Africa: Central and Western Africa: Other Central and Western Africa
Africa: South and Eastern Africa: Kenya,23,Africa: South and Eastern Africa: Kenya,Africa: South and Eastern Africa: Kenya
Africa: South and Eastern Africa: Somalia,24,Africa: South and Eastern Africa: Somalia,Africa: South and Eastern Africa: Somalia
Africa: South and Eastern Africa: South Africa,25,Africa: South and Eastern Africa: South Africa,Africa: South and Eastern Africa: South Africa
Africa: South and Eastern Africa: Zimbabwe,26,Africa: South and Eastern Africa: Zimbabwe,Africa: South and Eastern Africa: Zimbabwe
Africa: South and Eastern Africa: Other South and Eastern Africa,27,Africa: South and Eastern Africa: Other South and Eastern Africa,Africa: South and Eastern Africa: Other South and Eastern Africa
Africa: Africa not otherwise specified,28,Africa: Africa not otherwise specified,Africa: Africa not otherwise specified
Middle East and Asia: Middle East: Iran,29,Middle East and Asia: Middle East: Iran,Middle East and Asia: Middle East: Iran
Middle East and Asia: Middle East: Iraq,30,,Middle East and Asia: Middle East: Other Middle East
Middle East and Asia: Middle East: Other Middle East,31,Middle East and Asia: Middle East: Other Middle East,Middle East and Asia: Middle East: Other Middle East
Middle East and Asia: Eastern Asia: China,32,Middle East and Asia: Eastern Asia: China,Middle East and Asia: Eastern Asia: China
Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),33,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China)
Middle East and Asia: Eastern Asia: Other Eastern Asia,34,Middle East and Asia: Eastern Asia: Other Eastern Asia,Middle East and Asia: Eastern Asia: Other Eastern Asia
Middle East and Asia: Southern Asia: Afghanistan,35,,Middle East and Asia: Southern Asia: Other Southern Asia
Middle East and Asia: Southern Asia: India,36,Middle East and Asia: Southern Asia: India,Middle East and Asia: Southern Asia: India
Middle East and Asia: Southern Asia: Pakistan,37,Middle East and Asia: Southern Asia: Pakistan,Middle East and Asia: Southern Asia: Pakistan
Middle East and Asia: Southern Asia: Bangladesh,38,Middle East and Asia: Southern Asia: Bangladesh,Middle East and Asia: Southern Asia: Bangladesh
Middle East and Asia: Southern Asia: Sri Lanka,39,Middle East and Asia: Southern Asia: Sri Lanka,Middle East and Asia: Southern Asia: Sri Lanka
Middle East and Asia: Southern Asia: Other Southern Asia,40,Middle East and Asia: Southern Asia: Other Southern Asia,Middle East and Asia: Southern Asia: Other Southern Asia
Middle East and Asia: South-East Asia: Philippines,41,Middle East and Asia: South-East Asia: Philippines,Middle East and Asia: South-East Asia: Philippines
Middle East and Asia: South-East Asia: Malaysia,42,,Middle East and Asia: South-East Asia: Other South-East Asia
Middle East and Asia: South-East Asia: Singapore,43,,Middle East and Asia: South-East Asia: Other South-East Asia
Middle East and Asia: South-East Asia: Other South-East Asia,44,Middle East and Asia: South-East Asia: Other South-East Asia,Middle East and Asia: South-East Asia: Other South-East Asia
Middle East and Asia: Central Asia,45,Middle East and Asia: Central Asia,Middle East and Asia: Central Asia
The Americas and the Caribbean: North America: United States,46,The Americas and the Caribbean: North America: United States,The Americas and the Caribbean: North America: United States
The Americas and the Caribbean: North America: Canada,47,,The Americas and the Caribbean: North America: Other North America
The Americas and the Caribbean: North America: Other North America,48,The Americas and the Caribbean: North America: Other North America,The Americas and the Caribbean: North America: Other North America
The Americas and the Caribbean: Central America: All Central American countries,49,The Americas and the Caribbean: Central America,The Americas and the Caribbean: Central America: All Central American countries
The Americas and the Caribbean: South America: All South American countries,50,The Americas and the Caribbean: South America,The Americas and the Caribbean: South America: All South American countries
The Americas and the Caribbean: The Caribbean: Jamaica,51,The Americas and the Caribbean: The Caribbean: Jamaica,The Americas and the Caribbean: The Caribbean: Jamaica
The Americas and the Caribbean: The Caribbean: Other Caribbean,52,The Americas and the Caribbean: The Caribbean: Other Caribbean,The Americas and the Caribbean: The Caribbean: Other Caribbean
Antarctica and Oceania: Australasia: Australia,53,Antarctica and Oceania: Australasia: Australia,Antarctica and Oceania: Australasia: Australia
Antarctica and Oceania: Australasia: New Zealand,54,,Antarctica and Oceania: Australasia: Other Australasia
Antarctica and Oceania: Australasia: Other Australasia,55,Antarctica and Oceania: Australasia: Other Australasia,Antarctica and Oceania: Australasia: Other Australasia
