ward_name,gss_code_ward,gss_code_oa,oa_ward_weight,gss_code_la
Aldersgate,E09000001_01,E00000001,1,E09000001
Aldersgate,E09000001_01,E00000003,1,E09000001
Aldersgate,E09000001_01,E00000005,1,E09000001
Aldersgate,E09000001_01,E00000007,0.924528302,E09000001
Aldersgate,E09000001_01,E00000013,1,E09000001
Aldersgate,E09000001_01,E00166756,0.55,E09000001
Aldersgate,E09000001_01,E00166758,1,E09000001
Aldersgate,E09000001_01,E00166759,0.268691589,E09000001
Aldgate,E09000001_02,E00000029,0,E09000001
Aldgate,E09000001_02,E00000035,0.052948255,E09000001
Bassishaw,E09000001_03,E00000021,0.325657895,E09000001
Bassishaw,E09000001_03,E00166755,0,E09000001
Billingsgate,E09000001_04,E00000035,0.267148014,E09000001
Bishopsgate,E09000001_05,E00000030,0,E09000001
Bishopsgate,E09000001_05,E00166755,0.796033994,E09000001
Bread Street,E09000001_06,E00000024,0,E09000001
Bread Street,E09000001_06,E00166757,0,E09000001
Bridge,E09000001_07,E00000035,0.194945848,E09000001
Bridge,E09000001_07,E00166755,0,E09000001
Broad Street,E09000001_08,E00166755,0.065155807,E09000001
Candlewick,E09000001_09,E00166755,0.062322946,E09000001
Castle Baynard,E09000001_10,E00000024,0.335365854,E09000001
Castle Baynard,E09000001_10,E00000025,0.681933842,E09000001
Castle Baynard,E09000001_10,E00000026,0.16509434,E09000001
Cheap,E09000001_11,E00000007,0.075471698,E09000001
Cheap,E09000001_11,E00000021,0,E09000001
Cheap,E09000001_11,E00000024,0,E09000001
Cheap,E09000001_11,E00166755,0,E09000001
Cheap,E09000001_11,E00166757,0,E09000001
Coleman Street,E09000001_12,E00166755,0,E09000001
Cordwainer,E09000001_13,E00166757,0.181500873,E09000001
Cornhill,E09000001_14,E00166755,0,E09000001
Cripplegate,E09000001_15,E00000010,1,E09000001
Cripplegate,E09000001_15,E00000012,1,E09000001
Cripplegate,E09000001_15,E00000014,1,E09000001
Cripplegate,E09000001_15,E00000016,1,E09000001
Cripplegate,E09000001_15,E00000017,1,E09000001
Cripplegate,E09000001_15,E00000018,1,E09000001
Cripplegate,E09000001_15,E00000019,1,E09000001
Cripplegate,E09000001_15,E00000020,1,E09000001
Cripplegate,E09000001_15,E00000021,0.674342105,E09000001
Cripplegate,E09000001_15,E00000022,1,E09000001
Cripplegate,E09000001_15,E00000023,1,E09000001
Cripplegate,E09000001_15,E00166759,0.731308411,E09000001
Dowgate,E09000001_16,E00166755,0.076487252,E09000001
Dowgate,E09000001_16,E00166757,0.07504363,E09000001
Farringdon Within,E09000001_17,E00000024,0.664634146,E09000001
Farringdon Within,E09000001_17,E00000026,0.745283019,E09000001
Farringdon Within,E09000001_17,E00000027,0.479041916,E09000001
Farringdon Within,E09000001_17,E00166756,0.45,E09000001
Farringdon Without,E09000001_18,E00000025,0.318066158,E09000001
Farringdon Without,E09000001_18,E00000026,0.089622642,E09000001
Farringdon Without,E09000001_18,E00000027,0.520958084,E09000001
Farringdon Without,E09000001_18,E00000028,1,E09000001
Langbourn,E09000001_19,E00166755,0,E09000001
Lime Street,E09000001_20,E00166755,0,E09000001
Portsoken,E09000001_21,E00000029,0.26681128,E09000001
Portsoken,E09000001_21,E00000030,1,E09000001
Portsoken,E09000001_21,E00000031,1,E09000001
Portsoken,E09000001_21,E00000032,1,E09000001
Queenhithe,E09000001_22,E00166757,0.553228621,E09000001
Tower,E09000001_23,E00000029,0.73318872,E09000001
Tower,E09000001_23,E00000035,0.484957882,E09000001
Vintry,E09000001_24,E00166757,0.190226876,E09000001
Walbrook,E09000001_25,E00166755,0,E09000001
Walbrook,E09000001_25,E00166757,0,E09000001
Abbey,E09000002_01,E00000062,0.89258312,E09000002
Abbey,E09000002_01,E00000063,1,E09000002
Abbey,E09000002_01,E00000246,0.733944954,E09000002
Abbey,E09000002_01,E00000247,1,E09000002
Abbey,E09000002_01,E00000248,0.183206107,E09000002
Abbey,E09000002_01,E00000249,1,E09000002
Abbey,E09000002_01,E00000251,0.082508251,E09000002
Abbey,E09000002_01,E00175102,1,E09000002
Abbey,E09000002_01,E00175103,1,E09000002
Abbey,E09000002_01,E00175104,1,E09000002
Abbey,E09000002_01,E00175105,1,E09000002
Abbey,E09000002_01,E00175109,0.161676647,E09000002
Alibon,E09000002_02,E00000070,1,E09000002
Alibon,E09000002_02,E00000071,1,E09000002
Alibon,E09000002_02,E00000073,1,E09000002
Alibon,E09000002_02,E00000074,1,E09000002
Alibon,E09000002_02,E00000076,1,E09000002
Alibon,E09000002_02,E00000079,1,E09000002
Alibon,E09000002_02,E00000080,1,E09000002
Alibon,E09000002_02,E00000081,0.785714286,E09000002
Alibon,E09000002_02,E00000082,1,E09000002
Alibon,E09000002_02,E00000083,1,E09000002
Alibon,E09000002_02,E00000084,1,E09000002
Alibon,E09000002_02,E00000087,0.111111111,E09000002
Alibon,E09000002_02,E00000088,1,E09000002
Alibon,E09000002_02,E00000089,1,E09000002
Alibon,E09000002_02,E00000091,1,E09000002
Alibon,E09000002_02,E00000093,0.718518519,E09000002
Alibon,E09000002_02,E00000094,1,E09000002
Alibon,E09000002_02,E00000095,1,E09000002
Alibon,E09000002_02,E00000100,1,E09000002
Alibon,E09000002_02,E00000167,1,E09000002
Alibon,E09000002_02,E00000173,0,E09000002
Alibon,E09000002_02,E00000174,1,E09000002
