orig_names_21,plot_name_21,date,geography,geography_code,Rural_Urban,total_pop,value,cob_region,cob,percs
Africa: Africa not otherwise specified,Africa not otherwise specified,2011,Camden,E09000007,Total,220338,74,Africa,Africa not otherwise specified,0.03
Africa: Africa not otherwise specified,Africa not otherwise specified,2011,City of London,E09000001,Total,7375,0,Africa,Africa not otherwise specified,0
Africa: Africa not otherwise specified,Africa not otherwise specified,2011,Hackney,E09000012,Total,246270,163,Africa,Africa not otherwise specified,0.07
Africa: Africa not otherwise specified,Africa not otherwise specified,2011,Hammersmith and Fulham,E09000013,Total,182493,56,Africa,Africa not otherwise specified,0.03
Africa: Africa not otherwise specified,Africa not otherwise specified,2011,Haringey,E09000014,Total,254926,135,Africa,Africa not otherwise specified,0.05
Africa: Africa not otherwise specified,Africa not otherwise specified,2011,Islington,E09000019,Total,206125,58,Africa,Africa not otherwise specified,0.03
Africa: Africa not otherwise specified,Africa not otherwise specified,2011,Kensington and Chelsea,E09000020,Total,158649,44,Africa,Africa not otherwise specified,0.03
Africa: Africa not otherwise specified,Africa not otherwise specified,2011,Lambeth,E09000022,Total,303086,163,Africa,Africa not otherwise specified,0.05
Africa: Africa not otherwise specified,Africa not otherwise specified,2011,Lewisham,E09000023,Total,275885,136,Africa,Africa not otherwise specified,0.05
Africa: Africa not otherwise specified,Africa not otherwise specified,2011,Newham,E09000025,Total,307984,471,Africa,Africa not otherwise specified,0.15
Africa: Africa not otherwise specified,Africa not otherwise specified,2011,Southwark,E09000028,Total,288283,161,Africa,Africa not otherwise specified,0.06
Africa: Africa not otherwise specified,Africa not otherwise specified,2011,Tower Hamlets,E09000030,Total,254096,61,Africa,Africa not otherwise specified,0.02
Africa: Africa not otherwise specified,Africa not otherwise specified,2011,Wandsworth,E09000032,Total,306995,170,Africa,Africa not otherwise specified,0.06
Africa: Africa not otherwise specified,Africa not otherwise specified,2011,Westminster,E09000033,Total,219396,60,Africa,Africa not otherwise specified,0.03
Africa: Africa not otherwise specified,Africa not otherwise specified,2011,Barking and Dagenham,E09000002,Total,185911,119,Africa,Africa not otherwise specified,0.06
Africa: Africa not otherwise specified,Africa not otherwise specified,2011,Barnet,E09000003,Total,356386,242,Africa,Africa not otherwise specified,0.07
Africa: Africa not otherwise specified,Africa not otherwise specified,2011,Bexley,E09000004,Total,231997,80,Africa,Africa not otherwise specified,0.03
Africa: Africa not otherwise specified,Africa not otherwise specified,2011,Brent,E09000005,Total,311215,541,Africa,Africa not otherwise specified,0.17
Africa: Africa not otherwise specified,Africa not otherwise specified,2011,Bromley,E09000006,Total,309392,82,Africa,Africa not otherwise specified,0.03
Africa: Africa not otherwise specified,Africa not otherwise specified,2011,Croydon,E09000008,Total,363378,326,Africa,Africa not otherwise specified,0.09
Africa: Africa not otherwise specified,Africa not otherwise specified,2011,Ealing,E09000009,Total,338449,486,Africa,Africa not otherwise specified,0.14
Africa: Africa not otherwise specified,Africa not otherwise specified,2011,Enfield,E09000010,Total,312466,198,Africa,Africa not otherwise specified,0.06
Africa: Africa not otherwise specified,Africa not otherwise specified,2011,Greenwich,E09000011,Total,254557,150,Africa,Africa not otherwise specified,0.06
Africa: Africa not otherwise specified,Africa not otherwise specified,2011,Harrow,E09000015,Total,239056,527,Africa,Africa not otherwise specified,0.22
Africa: Africa not otherwise specified,Africa not otherwise specified,2011,Havering,E09000016,Total,237232,58,Africa,Africa not otherwise specified,0.02
Africa: Africa not otherwise specified,Africa not otherwise specified,2011,Hillingdon,E09000017,Total,273936,322,Africa,Africa not otherwise specified,0.12
