geography_code,total_pop,date,geography,value,cob_region,cob,percs
E09000001,8579,2021,City of London,0,Africa,Africa not otherwise specified,0
E09000002,218870,2021,Barking and Dagenham,33,Africa,Africa not otherwise specified,0.02
E09000003,389342,2021,Barnet,59,Africa,Africa not otherwise specified,0.02
E09000004,246472,2021,Bexley,30,Africa,Africa not otherwise specified,0.01
E09000005,339817,2021,Brent,126,Africa,Africa not otherwise specified,0.04
E09000006,329984,2021,Bromley,13,Africa,Africa not otherwise specified,0
E09000007,210135,2021,Camden,24,Africa,Africa not otherwise specified,0.01
E09000008,390719,2021,Croydon,63,Africa,Africa not otherwise specified,0.02
E09000009,367116,2021,Ealing,131,Africa,Africa not otherwise specified,0.04
E09000010,329987,2021,Enfield,57,Africa,Africa not otherwise specified,0.02
E09000011,289073,2021,Greenwich,41,Africa,Africa not otherwise specified,0.01
E09000012,259147,2021,Hackney,37,Africa,Africa not otherwise specified,0.01
E09000013,183149,2021,Hammersmith and Fulham,30,Africa,Africa not otherwise specified,0.02
E09000014,264236,2021,Haringey,47,Africa,Africa not otherwise specified,0.02
E09000015,261201,2021,Harrow,185,Africa,Africa not otherwise specified,0.07
E09000016,262058,2021,Havering,22,Africa,Africa not otherwise specified,0.01
E09000017,305912,2021,Hillingdon,76,Africa,Africa not otherwise specified,0.02
E09000018,288177,2021,Hounslow,99,Africa,Africa not otherwise specified,0.03
E09000019,216589,2021,Islington,29,Africa,Africa not otherwise specified,0.01
E09000020,143375,2021,Kensington and Chelsea,10,Africa,Africa not otherwise specified,0.01
E09000021,168064,2021,Kingston upon Thames,15,Africa,Africa not otherwise specified,0.01
E09000022,317654,2021,Lambeth,55,Africa,Africa not otherwise specified,0.02
E09000023,300556,2021,Lewisham,33,Africa,Africa not otherwise specified,0.01
E09000024,215184,2021,Merton,22,Africa,Africa not otherwise specified,0.01
E09000025,351041,2021,Newham,89,Africa,Africa not otherwise specified,0.03
E09000026,310257,2021,Redbridge,144,Africa,Africa not otherwise specified,0.05
E09000027,195277,2021,Richmond upon Thames,17,Africa,Africa not otherwise specified,0.01
E09000028,307632,2021,Southwark,61,Africa,Africa not otherwise specified,0.02
E09000029,209640,2021,Sutton,11,Africa,Africa not otherwise specified,0.01
E09000030,310304,2021,Tower Hamlets,18,Africa,Africa not otherwise specified,0.01
E09000031,278417,2021,Waltham Forest,32,Africa,Africa not otherwise specified,0.01
E09000032,327502,2021,Wandsworth,30,Africa,Africa not otherwise specified,0.01
E09000033,204238,2021,Westminster,28,Africa,Africa not otherwise specified,0.01
E09000001,8579,2021,City of London,24,Africa,Ghana,0.28
E09000002,218870,2021,Barking and Dagenham,3320,Africa,Ghana,1.52
E09000003,389342,2021,Barnet,2013,Africa,Ghana,0.52
E09000004,246472,2021,Bexley,1640,Africa,Ghana,0.67
E09000005,339817,2021,Brent,2358,Africa,Ghana,0.69
E09000006,329984,2021,Bromley,1128,Africa,Ghana,0.34
E09000007,210135,2021,Camden,576,Africa,Ghana,0.27
E09000008,390719,2021,Croydon,7244,Africa,Ghana,1.85
E09000009,367116,2021,Ealing,1048,Africa,Ghana,0.29
E09000010,329987,2021,Enfield,4738,Africa,Ghana,1.44
E09000011,289073,2021,Greenwich,2730,Africa,Ghana,0.94
E09000012,259147,2021,Hackney,3088,Africa,Ghana,1.19
E09000013,183149,2021,Hammersmith and Fulham,702,Africa,Ghana,0.38
E09000014,264236,2021,Haringey,3153,Africa,Ghana,1.19
E09000015,261201,2021,Harrow,915,Africa,Ghana,0.35
E09000016,262058,2021,Havering,1246,Africa,Ghana,0.48
E09000017,305912,2021,Hillingdon,736,Africa,Ghana,0.24
E09000018,288177,2021,Hounslow,1197,Africa,Ghana,0.42
E09000019,216589,2021,Islington,850,Africa,Ghana,0.39
E09000020,143375,2021,Kensington and Chelsea,438,Africa,Ghana,0.31
E09000021,168064,2021,Kingston upon Thames,241,Africa,Ghana,0.14
E09000022,317654,2021,Lambeth,4106,Africa,Ghana,1.29
E09000023,300556,2021,Lewisham,2838,Africa,Ghana,0.94
E09000024,215184,2021,Merton,3037,Africa,Ghana,1.41
E09000025,351041,2021,Newham,4085,Africa,Ghana,1.16
E09000026,310257,2021,Redbridge,1199,Africa,Ghana,0.39
E09000027,195277,2021,Richmond upon Thames,215,Africa,Ghana,0.11
