date,geography,geography_code,Rural_Urban,total_pop,value,cob_region,cob,percs
2011,North East,E12000001,Total,2596886,176,Africa,Africa not otherwise specified,0.01
2011,North West,E12000002,Total,7052177,1247,Africa,Africa not otherwise specified,0.02
2011,Yorkshire and The Humber,E12000003,Total,5283733,791,Africa,Africa not otherwise specified,0.01
2011,East Midlands,E12000004,Total,4533222,2554,Africa,Africa not otherwise specified,0.06
2011,West Midlands,E12000005,Total,5601847,1710,Africa,Africa not otherwise specified,0.03
2011,East,E12000006,Total,5846965,933,Africa,Africa not otherwise specified,0.02
2011,London,E12000007,Total,8173941,6139,Africa,Africa not otherwise specified,0.08
2011,South East,E12000008,Total,8634750,1577,Africa,Africa not otherwise specified,0.02
2011,South West,E12000009,Total,5288935,602,Africa,Africa not otherwise specified,0.01
2011,North East,E12000001,Total,2596886,357,Africa,Ghana,0.01
2011,North West,E12000002,Total,7052177,3090,Africa,Ghana,0.04
2011,Yorkshire and The Humber,E12000003,Total,5283733,2788,Africa,Ghana,0.05
2011,East Midlands,E12000004,Total,4533222,2771,Africa,Ghana,0.06
2011,West Midlands,E12000005,Total,5601847,3615,Africa,Ghana,0.06
2011,East,E12000006,Total,5846965,6873,Africa,Ghana,0.12
2011,London,E12000007,Total,8173941,62896,Africa,Ghana,0.77
2011,South East,E12000008,Total,8634750,9241,Africa,Ghana,0.11
2011,South West,E12000009,Total,5288935,1681,Africa,Ghana,0.03
2011,North East,E12000001,Total,2596886,2768,Africa,Nigeria,0.11
2011,North West,E12000002,Total,7052177,13903,Africa,Nigeria,0.2
2011,Yorkshire and The Humber,E12000003,Total,5283733,6301,Africa,Nigeria,0.12
2011,East Midlands,E12000004,Total,4533222,6601,Africa,Nigeria,0.15
2011,West Midlands,E12000005,Total,5601847,8628,Africa,Nigeria,0.15
2011,East,E12000006,Total,5846965,15557,Africa,Nigeria,0.27
2011,London,E12000007,Total,8173941,114718,Africa,Nigeria,1.4
2011,South East,E12000008,Total,8634750,16273,Africa,Nigeria,0.19
2011,South West,E12000009,Total,5288935,3941,Africa,Nigeria,0.07
2011,North East,E12000001,Total,2596886,2016,Africa,Other Central and Western Africa,0.08
2011,North West,E12000002,Total,7052177,8918,Africa,Other Central and Western Africa,0.13
2011,Yorkshire and The Humber,E12000003,Total,5283733,6665,Africa,Other Central and Western Africa,0.13
2011,East Midlands,E12000004,Total,4533222,3937,Africa,Other Central and Western Africa,0.09
2011,West Midlands,E12000005,Total,5601847,8218,Africa,Other Central and Western Africa,0.15
2011,East,E12000006,Total,5846965,5565,Africa,Other Central and Western Africa,0.1
2011,London,E12000007,Total,8173941,62740,Africa,Other Central and Western Africa,0.77
2011,South East,E12000008,Total,8634750,9001,Africa,Other Central and Western Africa,0.1
2011,South West,E12000009,Total,5288935,3474,Africa,Other Central and Western Africa,0.07
