geography_code,total_pop,date,geography,value,cob_region,cob,percs
E12000001,2647004,2021,North East,72,Africa,Africa not otherwise specified,0
E12000002,7417398,2021,North West,426,Africa,Africa not otherwise specified,0.01
E12000003,5480772,2021,Yorkshire and The Humber,293,Africa,Africa not otherwise specified,0.01
E12000004,4880054,2021,East Midlands,796,Africa,Africa not otherwise specified,0.02
E12000005,5950757,2021,West Midlands,618,Africa,Africa not otherwise specified,0.01
E12000006,6335077,2021,East of England,317,Africa,Africa not otherwise specified,0.01
E12000007,8799725,2021,London,1669,Africa,Africa not otherwise specified,0.02
E12000008,9278064,2021,South East,529,Africa,Africa not otherwise specified,0.01
E12000009,5701188,2021,South West,240,Africa,Africa not otherwise specified,0
E12000001,2647004,2021,North East,791,Africa,Ghana,0.03
E12000002,7417398,2021,North West,6308,Africa,Ghana,0.09
E12000003,5480772,2021,Yorkshire and The Humber,5744,Africa,Ghana,0.1
E12000004,4880054,2021,East Midlands,8060,Africa,Ghana,0.17
E12000005,5950757,2021,West Midlands,12171,Africa,Ghana,0.2
E12000006,6335077,2021,East of England,13034,Africa,Ghana,0.21
E12000007,8799725,2021,London,65905,Africa,Ghana,0.75
E12000008,9278064,2021,South East,16713,Africa,Ghana,0.18
E12000009,5701188,2021,South West,3027,Africa,Ghana,0.05
E12000001,2647004,2021,North East,6301,Africa,Nigeria,0.24
E12000002,7417398,2021,North West,29092,Africa,Nigeria,0.39
E12000003,5480772,2021,Yorkshire and The Humber,12454,Africa,Nigeria,0.23
E12000004,4880054,2021,East Midlands,13902,Africa,Nigeria,0.28
E12000005,5950757,2021,West Midlands,19911,Africa,Nigeria,0.33
E12000006,6335077,2021,East of England,27913,Africa,Nigeria,0.44
E12000007,8799725,2021,London,117145,Africa,Nigeria,1.33
E12000008,9278064,2021,South East,32468,Africa,Nigeria,0.35
E12000009,5701188,2021,South West,7691,Africa,Nigeria,0.13
E12000001,2647004,2021,North East,3083,Africa,Other Central and Western Africa,0.12
E12000002,7417398,2021,North West,16320,Africa,Other Central and Western Africa,0.22
E12000003,5480772,2021,Yorkshire and The Humber,11216,Africa,Other Central and Western Africa,0.2
E12000004,4880054,2021,East Midlands,6763,Africa,Other Central and Western Africa,0.14
E12000005,5950757,2021,West Midlands,14737,Africa,Other Central and Western Africa,0.25
