date,geography,geography_code,total_pop,value,cob_region,cob,percs
2021,North East,E12000001,2647004,72,Africa,Africa not otherwise specified,0
2021,North West,E12000002,7417398,426,Africa,Africa not otherwise specified,0.01
2021,Yorkshire and The Humber,E12000003,5480772,293,Africa,Africa not otherwise specified,0.01
2021,East Midlands,E12000004,4880054,796,Africa,Africa not otherwise specified,0.02
2021,West Midlands,E12000005,5950757,618,Africa,Africa not otherwise specified,0.01
2021,East of England,E12000006,6335077,317,Africa,Africa not otherwise specified,0.01
2021,London,E12000007,8799725,1669,Africa,Africa not otherwise specified,0.02
2021,South East,E12000008,9278064,529,Africa,Africa not otherwise specified,0.01
2021,South West,E12000009,5701188,240,Africa,Africa not otherwise specified,0
2021,North East,E12000001,2647004,791,Africa,Ghana,0.03
2021,North West,E12000002,7417398,6308,Africa,Ghana,0.09
2021,Yorkshire and The Humber,E12000003,5480772,5744,Africa,Ghana,0.1
2021,East Midlands,E12000004,4880054,8060,Africa,Ghana,0.17
2021,West Midlands,E12000005,5950757,12171,Africa,Ghana,0.2
2021,East of England,E12000006,6335077,13034,Africa,Ghana,0.21
2021,London,E12000007,8799725,65905,Africa,Ghana,0.75
2021,South East,E12000008,9278064,16713,Africa,Ghana,0.18
2021,South West,E12000009,5701188,3027,Africa,Ghana,0.05
2021,North East,E12000001,2647004,6301,Africa,Nigeria,0.24
2021,North West,E12000002,7417398,29092,Africa,Nigeria,0.39
2021,Yorkshire and The Humber,E12000003,5480772,12454,Africa,Nigeria,0.23
2021,East Midlands,E12000004,4880054,13902,Africa,Nigeria,0.28
2021,West Midlands,E12000005,5950757,19911,Africa,Nigeria,0.33
2021,East of England,E12000006,6335077,27913,Africa,Nigeria,0.44
2021,London,E12000007,8799725,117145,Africa,Nigeria,1.33
2021,South East,E12000008,9278064,32468,Africa,Nigeria,0.35
2021,South West,E12000009,5701188,7691,Africa,Nigeria,0.13
2021,North East,E12000001,2647004,3083,Africa,Other Central and Western Africa,0.12
2021,North West,E12000002,7417398,16320,Africa,Other Central and Western Africa,0.22
2021,Yorkshire and The Humber,E12000003,5480772,11216,Africa,Other Central and Western Africa,0.2
2021,East Midlands,E12000004,4880054,6763,Africa,Other Central and Western Africa,0.14
2021,West Midlands,E12000005,5950757,14737,Africa,Other Central and Western Africa,0.25
2021,East of England,E12000006,6335077,10312,Africa,Other Central and Western Africa,0.16
2021,London,E12000007,8799725,71963,Africa,Other Central and Western Africa,0.82
2021,South East,E12000008,9278064,13446,Africa,Other Central and Western Africa,0.14
2021,South West,E12000009,5701188,5284,Africa,Other Central and Western Africa,0.09
2021,North East,E12000001,2647004,4526,Africa,North Africa,0.17
2021,North West,E12000002,7417398,19994,Africa,North Africa,0.27
2021,Yorkshire and The Humber,E12000003,5480772,11380,Africa,North Africa,0.21
2021,East Midlands,E12000004,4880054,8768,Africa,North Africa,0.18
2021,West Midlands,E12000005,5950757,14661,Africa,North Africa,0.25
2021,East of England,E12000006,6335077,10886,Africa,North Africa,0.17
2021,London,E12000007,8799725,66268,Africa,North Africa,0.75
2021,South East,E12000008,9278064,20720,Africa,North Africa,0.22
2021,South West,E12000009,5701188,7968,Africa,North Africa,0.14
2021,North East,E12000001,2647004,936,Africa,Kenya,0.04
2021,North West,E12000002,7417398,7259,Africa,Kenya,0.1
2021,Yorkshire and The Humber,E12000003,5480772,4509,Africa,Kenya,0.08
2021,East Midlands,E12000004,4880054,14512,Africa,Kenya,0.3
2021,West Midlands,E12000005,5950757,11137,Africa,Kenya,0.19
2021,East of England,E12000006,6335077,11979,Africa,Kenya,0.19
2021,London,E12000007,8799725,58020,Africa,Kenya,0.66
2021,South East,E12000008,9278064,19169,Africa,Kenya,0.21
2021,South West,E12000009,5701188,5895,Africa,Kenya,0.1
2021,North East,E12000001,2647004,3794,Africa,Other South and Eastern Africa,0.14
2021,North West,E12000002,7417398,19454,Africa,Other South and Eastern Africa,0.26
2021,Yorkshire and The Humber,E12000003,5480772,14425,Africa,Other South and Eastern Africa,0.26
2021,East Midlands,E12000004,4880054,25880,Africa,Other South and Eastern Africa,0.53
2021,West Midlands,E12000005,5950757,21534,Africa,Other South and Eastern Africa,0.36
2021,East of England,E12000006,6335077,20343,Africa,Other South and Eastern Africa,0.32
2021,London,E12000007,8799725,113143,Africa,Other South and Eastern Africa,1.29
2021,South East,E12000008,9278064,34115,Africa,Other South and Eastern Africa,0.37
2021,South West,E12000009,5701188,10505,Africa,Other South and Eastern Africa,0.18
2021,North East,E12000001,2647004,302,Africa,Somalia,0.01
2021,North West,E12000002,7417398,7490,Africa,Somalia,0.1
2021,Yorkshire and The Humber,E12000003,5480772,4087,Africa,Somalia,0.07
2021,East Midlands,E12000004,4880054,5139,Africa,Somalia,0.11
2021,West Midlands,E12000005,5950757,13156,Africa,Somalia,0.22
2021,East of England,E12000006,6335077,1341,Africa,Somalia,0.02
2021,London,E12000007,8799725,66288,Africa,Somalia,0.75
2021,South East,E12000008,9278064,4021,Africa,Somalia,0.04
2021,South West,E12000009,5701188,5088,Africa,Somalia,0.09
2021,North East,E12000001,2647004,4126,Africa,South Africa,0.16
2021,North West,E12000002,7417398,12981,Africa,South Africa,0.18
2021,Yorkshire and The Humber,E12000003,5480772,8906,Africa,South Africa,0.16
2021,East Midlands,E12000004,4880054,11746,Africa,South Africa,0.24
2021,West Midlands,E12000005,5950757,10975,Africa,South Africa,0.18
2021,East of England,E12000006,6335077,25077,Africa,South Africa,0.4
2021,London,E12000007,8799725,47964,Africa,South Africa,0.55
2021,South East,E12000008,9278064,65920,Africa,South Africa,0.71
2021,South West,E12000009,5701188,23752,Africa,South Africa,0.42
2021,North East,E12000001,2647004,2556,Africa,Zimbabwe,0.1
2021,North West,E12000002,7417398,9726,Africa,Zimbabwe,0.13
2021,Yorkshire and The Humber,E12000003,5480772,10628,Africa,Zimbabwe,0.19
2021,East Midlands,E12000004,4880054,13737,Africa,Zimbabwe,0.28
2021,West Midlands,E12000005,5950757,13605,Africa,Zimbabwe,0.23
2021,East of England,E12000006,6335077,16932,Africa,Zimbabwe,0.27
2021,London,E12000007,8799725,17000,Africa,Zimbabwe,0.19
2021,South East,E12000008,9278064,28096,Africa,Zimbabwe,0.3
2021,South West,E12000009,5701188,9066,Africa,Zimbabwe,0.16
2021,North East,E12000001,2647004,2008,Antarctica and Oceania,Australia,0.08
2021,North West,E12000002,7417398,7060,Antarctica and Oceania,Australia,0.1
2021,Yorkshire and The Humber,E12000003,5480772,4934,Antarctica and Oceania,Australia,0.09
2021,East Midlands,E12000004,4880054,4389,Antarctica and Oceania,Australia,0.09
2021,West Midlands,E12000005,5950757,4744,Antarctica and Oceania,Australia,0.08
2021,East of England,E12000006,6335077,10364,Antarctica and Oceania,Australia,0.16
2021,London,E12000007,8799725,43418,Antarctica and Oceania,Australia,0.49
2021,South East,E12000008,9278064,22459,Antarctica and Oceania,Australia,0.24
2021,South West,E12000009,5701188,10587,Antarctica and Oceania,Australia,0.19
2021,North East,E12000001,2647004,763,Antarctica and Oceania,Other Australasia,0.03
2021,North West,E12000002,7417398,2533,Antarctica and Oceania,Other Australasia,0.03
2021,Yorkshire and The Humber,E12000003,5480772,1934,Antarctica and Oceania,Other Australasia,0.04
2021,East Midlands,E12000004,4880054,1851,Antarctica and Oceania,Other Australasia,0.04
2021,West Midlands,E12000005,5950757,1735,Antarctica and Oceania,Other Australasia,0.03
2021,East of England,E12000006,6335077,4803,Antarctica and Oceania,Other Australasia,0.08
2021,London,E12000007,8799725,19072,Antarctica and Oceania,Other Australasia,0.22
2021,South East,E12000008,9278064,10244,Antarctica and Oceania,Other Australasia,0.11
2021,South West,E12000009,5701188,4953,Antarctica and Oceania,Other Australasia,0.09
2021,North East,E12000001,2647004,228,Antarctica and Oceania,Other Oceania and Antarctica,0.01
2021,North West,E12000002,7417398,587,Antarctica and Oceania,Other Oceania and Antarctica,0.01
2021,Yorkshire and The Humber,E12000003,5480772,944,Antarctica and Oceania,Other Oceania and Antarctica,0.02
2021,East Midlands,E12000004,4880054,895,Antarctica and Oceania,Other Oceania and Antarctica,0.02
2021,West Midlands,E12000005,5950757,1220,Antarctica and Oceania,Other Oceania and Antarctica,0.02
2021,East of England,E12000006,6335077,1082,Antarctica and Oceania,Other Oceania and Antarctica,0.02
2021,London,E12000007,8799725,2324,Antarctica and Oceania,Other Oceania and Antarctica,0.03
2021,South East,E12000008,9278064,2659,Antarctica and Oceania,Other Oceania and Antarctica,0.03
2021,South West,E12000009,5701188,2235,Antarctica and Oceania,Other Oceania and Antarctica,0.04
2021,North East,E12000001,2647004,1942,Europe,Lithuania,0.07
2021,North West,E12000002,7417398,8949,Europe,Lithuania,0.12
2021,Yorkshire and The Humber,E12000003,5480772,11616,Europe,Lithuania,0.21
2021,East Midlands,E12000004,4880054,19532,Europe,Lithuania,0.4
2021,West Midlands,E12000005,5950757,9647,Europe,Lithuania,0.16
2021,East of England,E12000006,6335077,37896,Europe,Lithuania,0.6
2021,London,E12000007,8799725,45378,Europe,Lithuania,0.52
2021,South East,E12000008,9278064,19071,Europe,Lithuania,0.21
2021,South West,E12000009,5701188,7565,Europe,Lithuania,0.13
2021,North East,E12000001,2647004,9707,Europe,Other EU 2001-2011 members,0.37
2021,North West,E12000002,7417398,45719,Europe,Other EU 2001-2011 members,0.62
2021,Yorkshire and The Humber,E12000003,5480772,46481,Europe,Other EU 2001-2011 members,0.85
2021,East Midlands,E12000004,4880054,48586,Europe,Other EU 2001-2011 members,1
