geography_code,total_pop,date,geography,value,yoa,percs
E12000001,2647013,2021,North East,3641,Arrived 1951 to 1960,0.14
E12000002,7417398,2021,North West,20040,Arrived 1951 to 1960,0.27
E12000003,5480774,2021,Yorkshire and The Humber,13603,Arrived 1951 to 1960,0.25
E12000004,4880055,2021,East Midlands,15428,Arrived 1951 to 1960,0.32
E12000005,5950757,2021,West Midlands,26630,Arrived 1951 to 1960,0.45
E12000006,6335074,2021,East of England,25845,Arrived 1951 to 1960,0.41
E12000007,8799728,2021,London,61953,Arrived 1951 to 1960,0.7
E12000008,9278065,2021,South East,39382,Arrived 1951 to 1960,0.42
E12000009,5701186,2021,South West,20907,Arrived 1951 to 1960,0.37
E12000001,2647013,2021,North East,7876,Arrived 1961 to 1970,0.3
E12000002,7417398,2021,North West,43209,Arrived 1961 to 1970,0.58
E12000003,5480774,2021,Yorkshire and The Humber,34876,Arrived 1961 to 1970,0.64
E12000004,4880055,2021,East Midlands,39198,Arrived 1961 to 1970,0.8
E12000005,5950757,2021,West Midlands,65483,Arrived 1961 to 1970,1.1
E12000006,6335074,2021,East of England,49519,Arrived 1961 to 1970,0.78
E12000007,8799728,2021,London,174547,Arrived 1961 to 1970,1.98
E12000008,9278065,2021,South East,81190,Arrived 1961 to 1970,0.88
E12000009,5701186,2021,South West,33707,Arrived 1961 to 1970,0.59
E12000001,2647013,2021,North East,9196,Arrived 1971 to 1980,0.35
E12000002,7417398,2021,North West,43855,Arrived 1971 to 1980,0.59
E12000003,5480774,2021,Yorkshire and The Humber,34184,Arrived 1971 to 1980,0.62
E12000004,4880055,2021,East Midlands,40826,Arrived 1971 to 1980,0.84
E12000005,5950757,2021,West Midlands,53177,Arrived 1971 to 1980,0.89
E12000006,6335074,2021,East of England,49361,Arrived 1971 to 1980,0.78
E12000007,8799728,2021,London,201342,Arrived 1971 to 1980,2.29
E12000008,9278065,2021,South East,81253,Arrived 1971 to 1980,0.88
E12000009,5701186,2021,South West,29818,Arrived 1971 to 1980,0.52
E12000001,2647013,2021,North East,9681,Arrived 1981 to 1990,0.37
E12000002,7417398,2021,North West,42845,Arrived 1981 to 1990,0.58
E12000003,5480774,2021,Yorkshire and The Humber,31806,Arrived 1981 to 1990,0.58
E12000004,4880055,2021,East Midlands,30249,Arrived 1981 to 1990,0.62
E12000005,5950757,2021,West Midlands,45108,Arrived 1981 to 1990,0.76
E12000006,6335074,2021,East of England,49897,Arrived 1981 to 1990,0.79
E12000007,8799728,2021,London,248576,Arrived 1981 to 1990,2.82
E12000008,9278065,2021,South East,79995,Arrived 1981 to 1990,0.86
E12000009,5701186,2021,South West,29845,Arrived 1981 to 1990,0.52
E12000001,2647013,2021,North East,15726,Arrived 1991 to 2000,0.59
E12000002,7417398,2021,North West,73858,Arrived 1991 to 2000,1
